relative_time,ph_7.6,ph_7.6,ph_8.2,ph_7.6,ph_8.2,ph_8.2,
1453737.093,8.123624268,7.484440918,7.657088623,7.60626709,6.587998047,7.987615967,
1453797.092,8.123624268,7.487645264,7.658156738,7.607335205,6.589066162,7.987615967,
1453857.092,8.123624268,7.489781494,7.659224854,7.60840332,6.590134277,7.988684082,
1453917.092,8.123624268,7.490849609,7.660292969,7.609471436,6.590134277,7.989752197,
1453977.092,8.123624268,7.49298584,7.662429199,7.611607666,6.591202393,7.988684082,
1454037.092,8.123624268,7.494053955,7.663497314,7.612675781,6.592270508,7.989752197,
1454097.092,8.123624268,7.496190186,7.66456543,7.612675781,6.592270508,7.988684082,
1454157.092,8.123624268,7.497258301,7.66670166,7.613743896,6.593338623,7.988684082,
1454217.092,8.123624268,7.499394531,7.667769775,7.615880127,6.594406738,7.989752197,
1454277.091,8.124692383,7.501530762,7.668837891,7.614812012,6.594406738,7.988684082,
1454337.091,8.124692383,7.503666992,7.670974121,7.616948242,6.595474854,7.988684082,
1454397.091,8.124692383,7.504735107,7.673110352,7.618016357,6.596542969,7.989752197,
1454457.091,8.124692383,7.505803223,7.674178467,7.619084473,6.596542969,7.989752197,
1454517.091,8.124692383,7.506871338,7.675246582,7.620152588,6.597611084,7.988684082,
1454577.091,8.124692383,7.509007568,7.676314697,7.622288818,6.597611084,7.989752197,
1454637.091,8.125760498,7.510075684,7.678450928,7.624425049,6.598679199,7.989752197,
1454697.091,8.125760498,7.512211914,7.679519043,7.625493164,6.598679199,7.988684082,
1454757.09,8.125760498,7.514348145,7.680587158,7.626561279,6.599747314,7.988684082,
1454817.09,8.125760498,7.51541626,7.681655273,7.627629395,6.599747314,7.988684082,
1454877.09,8.125760498,7.516484375,7.683791504,7.629765625,6.60081543,7.988684082,
1454937.09,8.125760498,7.51755249,7.684859619,7.629765625,6.60081543,7.988684082,
1454997.09,8.125760498,7.518620605,7.685927734,7.63083374,6.601883545,7.988684082,
1455057.09,8.125760498,7.520756836,7.68699585,7.631901855,6.60295166,7.988684082,
1455117.09,8.125760498,7.521824951,7.688063965,7.634038086,6.60295166,7.988684082,
1455177.09,8.125760498,7.522893066,7.690200195,7.635106201,6.60295166,7.988684082,
1455237.09,8.125760498,7.525029297,7.691268311,7.635106201,6.604019775,7.989752197,
1455297.089,8.125760498,7.526097412,7.692336426,7.637242432,6.604019775,7.989752197,
1455357.089,8.126828613,7.526097412,7.693404541,7.637242432,6.605087891,7.989752197,
1455417.089,8.125760498,7.528233643,7.694472656,7.638310547,6.605087891,7.988684082,
1455477.089,8.126828613,7.531437988,7.695540771,7.637242432,6.606156006,7.987615967,
1455537.089,8.127896729,7.534642334,7.697677002,7.637242432,6.607224121,7.988684082,
1455597.089,8.130032959,7.536778564,7.699813232,7.638310547,6.609360352,7.988684082,
1455657.089,8.132169189,7.536778564,7.701949463,7.641514893,6.611496582,7.990820313,
1455717.089,8.13644165,7.53784668,7.705153809,7.645787354,6.615769043,7.992956543,
1455777.088,8.139645996,7.538914795,7.707290039,7.648991699,6.618973389,7.996160889,
1455837.088,8.141782227,7.53784668,7.70942627,7.652196045,6.621109619,7.997229004,
1455897.088,8.142850342,7.53784668,7.710494385,7.65326416,6.62324585,7.998297119,
1455957.088,8.142850342,7.536778564,7.7115625,7.654332275,6.624313965,7.999365234,
1456017.088,8.143918457,7.538914795,7.712630615,7.656468506,6.62538208,7.998297119,
1456077.088,8.143918457,7.543187256,7.71369873,7.657536621,6.626450195,7.998297119,
1456137.088,8.143918457,7.545323486,7.714766846,7.658604736,6.627518311,7.999365234,
1456197.088,8.143918457,7.549595947,7.715834961,7.659672852,6.627518311,7.999365234,
1456257.087,8.143918457,7.553868408,7.716903076,7.660740967,6.628586426,8.00043335,
1456317.087,8.144986572,7.559208984,7.717971191,7.661809082,6.629654541,8.00043335,
1456377.087,8.144986572,7.563481445,7.719039307,7.663945313,6.630722656,8.001501465,
1456437.087,8.144986572,7.566685791,7.720107422,7.665013428,6.630722656,8.001501465,
1456497.087,8.144986572,7.569890137,7.722243652,7.665013428,6.631790771,8.00043335,
1456557.087,8.144986572,7.572026367,7.723311768,7.667149658,6.631790771,8.001501465,
1456617.087,8.144986572,7.573094482,7.724379883,7.668217773,6.632858887,8.001501465,
1456677.087,8.144986572,7.574162598,7.725447998,7.669285889,6.633927002,8.00256958,
1456737.087,8.144986572,7.575230713,7.727584229,7.670354004,6.633927002,8.00256958,
1456797.086,8.144986572,7.576298828,7.728652344,7.670354004,6.634995117,8.001501465,
1456857.086,8.144986572,7.579503174,7.729720459,7.672490234,6.636063232,8.00256958,
1456917.086,8.144986572,7.580571289,7.730788574,7.672490234,6.637131348,8.003637695,
1456977.086,8.144986572,7.581639404,7.732924805,7.674626465,6.637131348,8.00256958,
1457037.086,8.144986572,7.583775635,7.73399292,7.67355835,6.638199463,8.00256958,
1457097.086,8.144986572,7.585911865,7.735061035,7.674626465,6.638199463,8.00256958,
1457157.086,8.144986572,7.585911865,7.73612915,7.67569458,6.639267578,8.00256958,
1457217.086,8.144986572,7.588048096,7.737197266,7.676762695,6.639267578,8.00256958,
1457277.085,8.144986572,7.589116211,7.738265381,7.676762695,6.640335693,8.00256958,
1457337.085,8.146054688,7.590184326,7.739333496,7.671422119,6.76210083,8.003637695,
1457397.085,8.146054688,7.591252441,7.740401611,7.616948242,6.634995117,8.005773926,
