flask,ph,seconds,species
p_h_7_6_4,7.538974609,5040,nanno
p_h_8_2_7,7.853914795,5040,nanno
p_h_8_2_5,8.019364014,5040,nanno
p_h_7_6_6,7.516514893,5040,nanno
p_h_7_6_4,7.540042725,5100,nanno
p_h_8_2_7,7.856051025,5100,nanno
p_h_8_2_5,8.019364014,5100,nanno
p_h_7_6_6,7.517583008,5100,nanno
p_h_7_6_4,7.542178955,5160,nanno
p_h_8_2_7,7.857119141,5160,nanno
p_h_8_2_5,8.019364014,5160,nanno
p_h_7_6_6,7.519719238,5160,nanno
p_h_7_6_4,7.544315186,5220,nanno
p_h_8_2_7,7.859255371,5220,nanno
p_h_8_2_5,8.019364014,5220,nanno
p_h_7_6_6,7.522923584,5220,nanno
p_h_7_6_4,7.547519531,5280,nanno
p_h_8_2_7,7.861391602,5280,nanno
p_h_8_2_5,8.019364014,5280,nanno
p_h_7_6_6,7.525059814,5280,nanno
p_h_7_6_4,7.549655762,5340,nanno
p_h_8_2_7,7.863527832,5340,nanno
p_h_8_2_5,8.020432129,5340,nanno
p_h_7_6_6,7.52826416,5340,nanno
p_h_7_6_4,7.552860107,5400,nanno
p_h_8_2_7,7.868868408,5400,nanno
p_h_8_2_5,8.020432129,5400,nanno
p_h_7_6_6,7.531468506,5400,nanno
p_h_7_6_4,7.554996338,5460,nanno
p_h_8_2_7,7.8752771,5460,nanno
p_h_8_2_5,8.020432129,5460,nanno
p_h_7_6_6,7.535740967,5460,nanno
p_h_7_6_4,7.557132568,5520,nanno
p_h_8_2_7,7.874208984,5520,nanno
p_h_8_2_5,8.020432129,5520,nanno
p_h_7_6_6,7.537877197,5520,nanno
p_h_7_6_4,7.557132568,5580,nanno
p_h_8_2_7,7.874208984,5580,nanno
p_h_8_2_5,8.020432129,5580,nanno
p_h_7_6_6,7.538945313,5580,nanno
p_h_7_6_4,7.558200684,5640,nanno
p_h_8_2_7,7.872072754,5640,nanno
p_h_8_2_5,8.020432129,5640,nanno
p_h_7_6_6,7.538945313,5640,nanno
p_h_7_6_4,7.558200684,5700,nanno
p_h_8_2_7,7.871004639,5700,nanno
p_h_8_2_5,8.019364014,5700,nanno
p_h_7_6_6,7.538945313,5700,nanno
p_h_7_6_4,7.558200684,5760,nanno
p_h_8_2_7,7.868868408,5760,nanno
p_h_8_2_5,8.019364014,5760,nanno
p_h_7_6_6,7.538945313,5760,nanno
p_h_7_6_4,7.559268799,5820,nanno
p_h_8_2_7,7.867800293,5820,nanno
p_h_8_2_5,8.019364014,5820,nanno
p_h_7_6_6,7.537877197,5820,nanno
p_h_7_6_4,7.560336914,5880,nanno
p_h_8_2_7,7.866732178,5880,nanno
p_h_8_2_5,8.019364014,5880,nanno
p_h_7_6_6,7.537877197,5880,nanno
p_h_7_6_4,7.560336914,5940,nanno
p_h_8_2_7,7.865664063,5940,nanno
p_h_8_2_5,8.018295898,5940,nanno
p_h_7_6_6,7.537877197,5940,nanno
p_h_7_6_4,7.561405029,6000,nanno
p_h_8_2_7,7.865664063,6000,nanno
p_h_8_2_5,8.018295898,6000,nanno
p_h_7_6_6,7.537877197,6000,nanno
p_h_7_6_4,7.561405029,6060,nanno
p_h_8_2_7,7.863527832,6060,nanno
p_h_8_2_5,8.018295898,6060,nanno
p_h_7_6_6,7.537877197,6060,nanno
p_h_7_6_4,7.561405029,6120,nanno
p_h_8_2_7,7.862459717,6120,nanno
p_h_8_2_5,8.017227783,6120,nanno
p_h_7_6_6,7.537877197,6120,nanno
p_h_7_6_4,7.562473145,6180,nanno
p_h_8_2_7,7.862459717,6180,nanno
p_h_8_2_5,8.017227783,6180,nanno
p_h_7_6_6,7.537877197,6180,nanno
p_h_7_6_4,7.562473145,6240,nanno
p_h_8_2_7,7.860323486,6240,nanno
p_h_8_2_5,8.016159668,6240,nanno
p_h_7_6_6,7.537877197,6240,nanno
p_h_7_6_4,7.562473145,6300,nanno
p_h_8_2_7,7.860323486,6300,nanno
p_h_8_2_5,8.016159668,6300,nanno
p_h_7_6_6,7.537877197,6300,nanno
p_h_7_6_4,7.56354126,6360,nanno
p_h_8_2_7,7.857119141,6360,nanno
p_h_8_2_5,8.016159668,6360,nanno
